ticker,ticker_original,ipo_date_stockanalysis,ipo_price,current,name,return
ASO,,2020-10-02,13.00,22.45,Academy Sports and Outdoors,72.69%
ASPL,,2020-09-23,10.00,10.23,Aspirational Consumer Lifestyle Corp.,2.25%
ATA,,2020-12-15,10.00,10.55,Americas Technology Acquisition,5.45%
ATAC,,2020-10-23,10.00,10.95,Altimar Acquisition,9.45%
ATHA,,2020-09-18,17.00,20.10,Athira Pharma,18.24%
ATIF,,2019-05-03,5.00,1.12,ATIF Holdings,-77.60%
AUVI,,2020-08-31,5.00,5.29,Applied UV,5.80%
AVAN,,2020-10-02,10.00,10.93,Avanti Acquisition,9.30%
AVDR,,2019-02-14,14.00,22.99,Avedro,64.21%
AVIR,,2020-10-30,24.00,54.23,Atea Pharmaceuticals,125.96%
AVO,,2020-10-01,12.00,16.24,Mission Produce,35.33%
AVTR,,2019-05-17,14.00,30.60,Avantor,118.54%
AXLA,,2019-05-09,20.00,5.97,Axcella Health,-70.15%
AYLA,,2020-05-08,15.00,13.27,Ayala Pharmaceuticals,-11.53%
AZEK,,2020-06-12,23.00,41.77,AZEK Company,81.61%
AZYO,,2020-10-08,17.00,15.28,Aziyo Biologics,-10.12%
BBIO,,2019-06-27,17.00,69.39,BridgeBio Pharma,308.18%
BCAB,,2020-12-16,18.00,45.71,BioAtla,153.94%
BCEL,,2019-06-20,17.00,15.13,Atreca,-11.00%
BCOW,,2019-01-09,10.00,9.77,1895 Bancorp of Wisconsin,-2.30%
BCTG,,2020-09-03,10.00,11.41,BCTG Acquisition,14.10%
BCYC,,2019-05-23,14.00,26.95,Bicycle Therapeutics,92.50%
BCYPU,BCYP,2021-01-12,10.00,10.38,Big Cypress Acquisition,3.75%
BDSX,,2020-10-28,18.00,27.63,Biodesix,53.47%
BDTX,,2020-01-30,19.00,26.08,Black Diamond Therapeutics,37.24%
BEAM,,2020-02-06,17.00,99.19,Beam Therapeutics,483.47%
BEKE,,2020-08-13,20.00,71.97,KE Holdings,259.83%
BENE,,2021-01-05,10.00,10.60,Benessere Capital Acquisition,6.00%
BFT,,2020-08-19,10.00,18.86,Foley Trasimene Acquisition II,88.55%
BHAT,,2019-07-26,4.00,1.32,Blue Hat Interactive,-67.13%
BHSE,,2020-10-30,10.00,10.18,Bull Horn Holdings,1.80%
BIGC,,2020-08-05,24.00,71.30,BigCommerce,197.08%
BILL,,2019-12-12,22.00,131.61,Bill.com,498.23%
BLCT,,2020-07-08,16.00,10.30,BlueCity Holdings,-35.66%
BLI,,2020-07-17,22.00,81.47,Berkeley Lights,270.30%
BLSA,,2020-10-22,10.00,10.77,BCLS Acquisition,7.70%
BLTS,,2021-01-07,10.00,10.55,Bright Lights Acquisition,5.45%
BLUW,,2020-12-15,10.00,10.68,Blue Water Acquisition,6.80%
BMRG,,2020-05-20,10.00,10.68,B. Riley Principal Merger II,6.80%
BNL,,2020-09-17,17.00,18.22,Broadstone Net Lease,7.18%
BNR,,2020-06-12,16.50,36.65,Burning Rock Biotech,122.12%
BNTX,,2019-10-10,15.00,108.26,BioNTech SE,621.73%
BOAC,,2020-10-28,10.00,11.50,Bluescape Opportunities Acquisition,14.95%
BORR,,2019-07-31,9.30,0.903,Borr Drilling,-90.29%
BOWX,,2020-08-05,10.00,11.00,BowX Acquisition,10.00%
BQ,,2020-09-30,10.00,9.69,Boqii Holding,-3.10%
BRBR,,2019-10-17,14.00,24.32,Bellring Brands,73.71%
BREZ,,2020-11-23,10.00,10.39,Breeze Holdings Acquisition,3.90%
BRLI,,2020-06-24,10.00,10.18,Brilliant Acquisition,1.80%
BRP,,2019-10-24,14.00,25.96,BRP Group,85.43%
BSN,,2020-09-11,10.00,10.26,Broadstone Acquisition,2.60%
BSY,,2020-09-23,22.00,45.94,Bentley Systems,108.82%
BTAQ,,2020-08-27,10.00,11.42,Burgundy Technology Acquisition,14.20%
BTWN,,2020-10-16,10.00,14.63,Bridgetown Holdings,46.30%
BWAC,,2020-11-13,10.00,10.44,Better World Acquisition,4.40%
BWAY,,2019-04-17,11.00,10.00,Brainsway,-9.09%
BYND,,2019-05-02,25.00,140.83,Beyond Meat,463.32%
CABA,,2019-10-25,11.00,14.11,Cabaletta Bio,28.27%
CALT,,2020-06-05,19.50,32.97,Calliditas Therapeutics,69.08%
CAN,,2019-11-21,9.00,4.87,Canaan,-45.94%
CAP,,2020-12-02,10.00,10.70,Capitol Investment V,7.00%
CAPA,,2020-09-04,10.00,10.40,HighCape Capital Acquisition,4.00%
CAS,,2020-11-20,10.00,10.27,Cascade Acquisition,2.70%
CBAH,,2020-12-11,10.00,10.62,CBRE Acquisition,6.20%
CCAC,,2020-02-11,10.00,10.85,CITIC Capital Acquisition,8.45%
CCCC,,2020-10-02,19.00,39.56,C4 Therapeutics,108.21%
CCIV,,2020-07-30,10.00,22.16,Churchill Capital Corp. IV,121.60%
CCV,,2020-12-16,10.00,11.29,Churchill Capital V,12.90%
CCX,,2019-07-26,10.00,10.59,Churchill Capital Corp II,5.90%
CCXX,,2020-02-14,10.00,9.84,Churchill Capital III,-1.60%
CD,,2020-09-30,13.50,18.10,Chindata Group,34.07%
CDAK,,2020-10-14,15.00,26.55,Codiak BioSciences,76.97%
CERT,,2020-12-11,23.00,37.39,Certara,62.54%
CFAC,,2020-11-13,10.00,12.07,CF Finance Acquisition III,20.70%
CFB,,2019-08-15,14.50,12.08,CrossFirst Bankshares,-16.69%
CFII,,2020-08-27,10.00,12.18,CF Finance Acquisition II,21.80%
CFIV,,2020-12-23,10.00,10.83,CF Acquisition IV,8.30%
CGEM,,2021-01-08,21.00,38.17,Cullinan Management,81.76%
CGRO,,2020-05-01,10.00,13.44,Collective Growth,34.35%
CHAQ,,2020-04-24,10.00,10.50,Chardan Healthcare Acquisition 2,5.00%
CHFW,,2020-11-19,10.00,10.35,Consonance-HFW Acquisition,3.50%
CHNG,,2019-06-27,13.00,24.04,Change Healthcare,84.88%
CHPM,,2019-11-22,10.00,10.44,CHP Merger,4.40%
CHWY,,2019-06-14,22.00,104.79,Chewy,376.32%
CIIC,,2019-12-13,10.00,28.22,CIIG Merger,182.15%
